,On_Shore_Mean,Off_Shore_Mean,Difference_Mean,On_Shore_Var,Off_Shore_Var,Difference_Var,On_Shore_Skew,Off_Shore_Skew,Difference_Skew,On_Shore_Kurt,Off_Shore_Kurt,Difference_Kurt
WS1,5.430561815484616,7.293051346780726,1.8624895312961103,6.983112975686002,19.946545899642867,12.963432923956866,0.9687332930084996,0.8815846848462061,-0.08714860816229353,1.3794250085724902,0.24166971902023793,-1.1377552895522522
WS2,5.29757772306911,7.150045121443157,1.8524673983740474,7.199398443133495,17.93545558588065,10.736057142747155,0.8912376277515609,0.8379490560250697,-0.05328857172649115,1.0196342400573006,0.18196472750762993,-0.8376695125496707
WS3,5.671465391534857,7.6084805274380845,1.937015135903227,7.383187779521516,21.664832419087602,14.281644639566085,0.9118090426324815,0.887351734803018,-0.024457307829463537,1.2733269137942558,0.2732159763831139,-1.0001109374111419
WS4,5.574697503392924,7.540549471826744,1.96585196843382,7.731213844797409,19.65480449824488,11.92359065344747,0.851108175815588,0.8345325779839626,-0.01657559783162532,0.9851101748559605,0.19459725595931143,-0.7905129188966491
WS5,5.915219802417677,7.968316511850222,2.0530967094325456,7.8815623986269125,23.97238466712183,16.090822268494918,0.8690917707954677,0.8974087658760777,0.02831699508060992,1.210908757185798,0.299282137144802,-0.9116266200409959
WS6,5.790321528895625,7.942166270434519,2.151844741538894,8.27954514214972,22.008787406225924,13.729242264076204,0.8078440576733449,0.8397541402929709,0.03191008261962602,0.8940876837377725,0.21036914650834282,-0.6837185372294297
WS7,6.245974781428584,8.385025072914972,2.139050291486388,8.84132749330382,26.3216084186116,17.48028092530778,0.8117542019081644,0.8628315919697754,0.05107739006161105,1.1377145204272554,0.2077835433833637,-0.9299309770438917
WS8,6.07608155793323,8.288177348594424,2.212095790661194,9.161719928579465,23.654370951291778,14.492651022712312,0.7678380725504431,0.8058794680669784,0.03804139551653529,0.7794996198588038,0.12288955020737946,-0.6566100696514243
WS9,6.624429378531088,8.923036886350856,2.298607507819767,10.359887814933684,29.534822984006883,19.1749351690732,0.7310723965328773,0.8164179750560473,0.08534557852317004,0.8218208652239989,0.09512802979804613,-0.7266928354259528
WS10,6.517885774705656,8.800011666380732,2.2821258916750757,10.863673398700234,26.28545016706989,15.421776768369655,0.7248350390607134,0.7359687758982062,0.011133736837492747,0.5890426120760681,-0.06239782151961615,-0.6514404335956843
