,P1,P2,Dist,Lvl
0,44088.0,48223.0,3.2195820854313794e-05,2.0
1,12802.0,71305.0,5.30995616219883e-05,2.0
2,65749.0,65929.0,6.150868096849648e-05,2.0
3,14200.0,20034.0,7.566543723029737e-05,2.0
4,38945.0,71726.0,8.152667012799788e-05,2.0
5,16874.0,16875.0,8.940736267462673e-05,2.0
6,1598.0,23322.0,9.360026485560109e-05,2.0
7,56873.0,56877.0,0.00013501290120351158,2.0
8,14955.0,56265.0,0.00014917804998538608,2.0
9,2401.0,53760.0,0.00015176018376651307,2.0
10,4410.0,43269.0,0.00019642660863146088,2.0
11,24208.0,70525.0,0.00023545545571319784,2.0
12,60641.0,60653.0,0.00023961966106858854,2.0
13,56639.0,65418.0,0.0002445832434750387,2.0
14,37899.0,38056.0,0.0002455793783351065,2.0
15,20527.0,64392.0,0.00024856684486444737,2.0
16,46625.0,60545.0,0.000253971075568176,2.0
17,39070.0,42613.0,0.00026086432201029877,2.0
18,9639.0,30742.0,0.0002940462422719511,2.0
19,5891.0,6532.0,0.0003015931805661105,2.0
20,44174.0,49845.0,0.00030447169628029346,2.0
21,8132.0,48509.0,0.00032133924281307896,2.0
22,18090.0,47079.0,0.00032185590740515006,2.0
23,18906.0,67606.0,0.00032953335077493635,2.0
24,16764.0,18494.0,0.00033123870359075887,2.0
25,61121.0,66609.0,0.0003327906524633916,2.0
26,51215.0,51219.0,0.00033510398762752144,2.0
27,41815.0,64047.0,0.0003362290163936652,2.0
28,3434.0,12681.0,0.00034089241430765516,2.0
29,19916.0,19924.0,0.0003887445084932541,2.0
30,11135.0,64039.0,0.0003916767209722696,2.0
31,11062.0,62175.0,0.00039418672866979045,2.0
32,37942.0,40707.0,0.0004318160980626441,2.0
33,8698.0,23090.0,0.00043761046960535694,2.0
34,28826.0,42010.0,0.00043966498640417106,2.0
35,33268.0,36650.0,0.0004479470993976911,2.0
36,189.0,16591.0,0.0004513457263362541,2.0
37,53194.0,58509.0,0.0004611389940810052,2.0
38,50629.0,54179.0,0.00046980909744806764,2.0
39,23410.0,27492.0,0.00047067072966021177,2.0
40,13794.0,39745.0,0.00047706740595187543,2.0
41,35212.0,37230.0,0.0004981913587735658,2.0
42,50944.0,60506.0,0.0005191590263886423,2.0
43,26620.0,41769.0,0.0005210799969047835,2.0
44,18582.0,29971.0,0.0005272027143111231,2.0
45,29644.0,36495.0,0.0005354103261780382,2.0
46,13710.0,61214.0,0.000549397171008004,2.0
47,11937.0,67397.0,0.0005603456919610123,2.0
48,53115.0,70483.0,0.0005698988081295024,2.0
49,58526.0,59239.0,0.0005857633145139488,2.0
50,18657.0,32511.0,0.0005874973805155025,2.0
51,14047.0,66899.0,0.0005891405010431757,2.0
52,37457.0,41405.0,0.0005938937922997824,2.0
53,48003.0,65143.0,0.0005981527000373657,2.0
54,23793.0,56788.0,0.0006070996115976048,2.0
55,232.0,29381.0,0.0006145386280635053,2.0
56,43991.0,52987.0,0.0006173525103321714,2.0
57,31781.0,32266.0,0.0006389749243836131,2.0
58,7407.0,10982.0,0.0006517791816778156,2.0
59,11981.0,26578.0,0.000663928380948325,2.0
60,5760.0,44467.0,0.0006728966552032021,2.0
61,22624.0,56933.0,0.0006746064462189866,2.0
62,63580.0,66230.0,0.0006762854981330617,2.0
63,21621.0,45252.0,0.0006887274562856708,2.0
64,61939.0,61954.0,0.0007023537515122078,2.0
65,13721.0,21110.0,0.0007049823174160013,2.0
66,7177.0,18560.0,0.0007082331301496719,2.0
67,12352.0,34068.0,0.0007162948055612217,2.0
68,14627.0,25812.0,0.0007242745974652152,2.0
69,4748.0,59941.0,0.0007359752805561153,2.0
70,17730.0,56142.0,0.000741956938703375,2.0
71,54195.0,60292.0,0.0007431616867980336,2.0
72,435.0,37292.0,0.0007438763895168205,2.0
73,8925.0,65369.0,0.0007617329668624519,2.0
74,22080.0,66264.0,0.0007652297890080482,2.0
75,27834.0,64702.0,0.0007890899978522953,2.0
76,31922.0,38790.0,0.0007920430652107094,2.0
77,23065.0,32409.0,0.0007938515515470522,2.0
78,56884.0,67748.0,0.0007955868929383845,2.0
79,1053.0,9808.0,0.0007981408293274655,2.0
80,2526.0,6025.0,0.0007982966843521949,2.0
81,31779.0,66436.0,0.0008049478606498242,2.0
82,39164.0,53226.0,0.000811984467539252,2.0
83,26691.0,57702.0,0.0008183630441164655,2.0
84,46676.0,48196.0,0.0008268763284511149,2.0
85,11245.0,39961.0,0.0008289632701456448,2.0
86,31794.0,49591.0,0.0008295083482500999,2.0
87,16958.0,64307.0,0.000833729865042073,2.0
88,15998.0,36527.0,0.0008357870417702024,2.0
89,1948.0,46596.0,0.000837302337369349,2.0
90,3967.0,35217.0,0.0008430514607026177,2.0
91,17506.0,56819.0,0.0008481371584238432,2.0
92,58180.0,61191.0,0.0008636581745914629,2.0
93,8700.0,62413.0,0.0008673649260747934,2.0
94,9525.0,23035.0,0.0008682937748440386,2.0
95,27510.0,46834.0,0.0008690827657125167,2.0
96,1296.0,39246.0,0.000871743225323047,2.0
97,35765.0,47055.0,0.0008747001996321606,2.0
98,53490.0,70002.0,0.0008803862391976084,2.0
99,56053.0,66452.0,0.0008907324307121431,2.0
100,46720.0,51279.0,0.0008962596527570523,2.0
101,31864.0,46555.0,0.0008963609372655237,2.0
102,27684.0,36336.0,0.0009058064904703989,2.0
103,41434.0,41513.0,0.0009075359013955637,2.0
104,54642.0,60064.0,0.0009414062759176176,2.0
105,41877.0,54057.0,0.0009423919271073607,2.0
106,47775.0,50645.0,0.0009438968974192279,2.0
