,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6
WS1,0.5781559099366639,0.902764523602873,1.1219621405119555,1.493194169517931,1.059789635717749,0.6015344888514428
WS2,0.5809044131383307,0.9387863531392275,0.9956572157914342,1.5123285331155658,1.0039136923490275,0.5560791385185944
WS3,0.5831470091501716,0.8825909640074018,1.102660587745132,1.396567986634508,1.0060297405739562,0.583912875024384
WS4,0.5778857684173371,0.9092457302703024,0.9867521544769757,1.4576426009483352,0.9475669444244247,0.5603221262586371
WS5,0.5898855841755897,0.86702055915549,1.1132361044243475,1.3417681703168194,0.9195715964788476,0.6074667082547938
WS6,0.5812707041531415,0.8901838479366887,0.9739412816682553,1.4364860329349014,0.8551425350845181,0.5758905007211415
WS7,0.5604791759180612,0.8564449111259644,1.0794260465426564,1.3800293710201195,0.7887871087874833,0.6427637288217544
WS8,0.5572434481460886,0.8672744078532973,0.9323949870534215,1.3653634420704253,0.7427679296136919,0.5977669860260437
WS9,0.5242772420853344,0.837192516264494,1.0649267742132378,1.247605541058676,0.6574785282496802,0.6425097578713076
WS10,0.49302218487903393,0.8635867504408286,0.8879756266016671,1.2152841321193661,0.6692470618671726,0.5972730224543455
WS11,0.5162154597047436,0.8623468492492846,0.8842496971707337,1.1494748727400004,0.6177901560935523,0.616054470092446
WS12,0.5218723558546157,0.8737769132342266,0.8796022685811121,1.0763318772596915,0.6138854220272384,0.5836230227297304
WD1,-0.30033680844772487,-0.0765575808699123,-2.501438173774614,1.9311486861774365,4.935958603766267,6.088037476929355
WD2,-3.5315053858454344,-7.522436499312255,-5.387433171907964,-0.7526759406195642,0.5432324445068436,-0.12249206223843269
WD3,-3.983839480319305,-3.2635550827004405,-6.055118063024147,-1.113610801954098,-1.0980124317997029,-0.13367813922324762
WD4,0.9671722435063852,-0.047364570500759345,1.3444945653046363,2.525643284965513,6.513112601013375,6.0574807369265775
WD5,0.4585609985996497,-0.010540660035306532,0.890184795831818,1.3799309168334966,0.13127857687029398,2.206494688274894
WD6,-3.5920911917587808,-8.576481091077977,-5.6906188579701285,-1.7512518138297029,-1.9014845476138522,-0.28498906006872615
WD7,1.1021045083107979,-0.04613311208744653,0.9770964473788574,2.4617940618517697,6.096908443058067,6.940305376014315
WD8,-3.5497105966338705,-6.973363375297917,-3.34586509524749,-1.4651114784239287,-1.6507137803474488,-0.31937105342085537
WD9,-1.0642935511716762,-3.0930357726950852,1.114097191751229,2.1548453745742715,5.129030299771069,4.897778532068637
WD10,-1.3299596435971055,-5.664267705895398,-3.9219135773955487,0.31534296965310293,1.0184352805458983,0.6803684840263691
WD11,-3.1009120204667138,-9.617328423836835,-5.4957275915075,-0.04597934801649057,3.025476886291965,3.7650896609971323
WD12,-1.7867817908670487,-5.370105737490027,-5.525354569118889,0.27169549048872227,3.277528247574666,3.9253353129419306
AT0,0.23179576180631659,0.17428297429069284,0.31158309130891876,0.07855942037689105,0.03405442996621624,-0.4757908207658112
AT1,0.0881883489984338,-0.019955524576844984,0.17688656892037727,-0.002265559407734547,-0.0794484784811588,-0.5786018910171179
AT2,0.07995118925307583,-0.003648002694216145,0.19725010218812028,0.0227475837772438,-0.08534143068486016,-0.5901715600267616
AT3,0.07538293162024086,-0.004676071284187677,0.19659334293888006,0.034969558497633814,-0.09187800551879559,-0.5835854764009475
AT4,0.07393117665491546,0.005361224402624362,0.21644977842147217,0.03502960883394124,-0.08455113913497828,-0.549932591021196
AT5,0.04342768095693862,0.03095073612163466,0.22928115594585044,0.007289544483804598,-0.07713153253626714,-0.4800743906225106
AT6,0.06494357656440777,0.07548282848238437,0.27792790925524785,0.005205060088855152,-0.06912688669778196,-0.33462906398231834
